,country,indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,ABW,High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,6.414375582999999,,,,3.213857542,3.292313477,4.052655398,10.24009794,4.9157289539999995,5.449211107999999,4.694767742,3.7587356610000002,5.3801718
1,ABW,High-technology exports (current US$),,,,,,,,,,8920213.0,338615.0,118950.0,338168.0,266637.0,388761.0,69664.0,59102.0,141337.0,866862.0,560538.0,1073498.0,3325655.0,1627152.0,1663353.0,1194859.0,1158612.0,1654810.0
12,ABW,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,480446.9274,458100.5587,1564245.81,3391061.453,4217877.095,4547486.034,6771959.279,10347512.0,9832402.235,11955307.26,13184357.54,14748603.35,10558659.22,9720670.391,8645172.626,10903194.97,13810224.58,16327503.35,
22,AFG,Scientific and technical journal articles,,,,,,,,,,,,,7.3,5.8,9.4,10.2,14.5,12.5,23.3,33.9,42.7,35.0,27.3,33.3,23.5,80.4,
25,AFG,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,,,,308406.5,94761.12,27577849.86,47084262.04,10738034.53,10944020.31,107890.1091,242475.5418,36802.95,180660.3999
35,AGO,Scientific and technical journal articles,,,,,,,,,,,,,4.3,8.2,9.9,13.3,9.9,9.9,14.0,15.2,17.8,22.4,24.1,35.7,32.9,39.1,
37,AGO,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,14100000.0,18300000.0,7421000.0,16587000.0,5960000.0,9480000.0,2790000.0,15750000.0,4420000.0,,,226800000.0,49430571.11,1339588442.0,12021694.12,12000000.0,,,,16332320.86,18843635.45,21944072.22,17490960.0,10997630.0,11569560.0
38,AGO,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,290000.0,1170000.0,1660000.0,5630000.0,430000.0,,,2495000.0,3378446.38,1366548.48,1173129.46,470000.0,20000.0,6378100.0,3185000.0,224315044.6,212220137.3,252852819.1,264702200.0,212229720.0,221726875.7
39,ALB,High-technology exports (% of manufactured exports),,,,,,0.17950322800000001,0.339874041,0.7617160629999999,1.744553865,0.6973748790000001,0.724100711,0.6995572640000001,0.95997465,0.991776725,4.2226996969999995,6.167414935,1.314305132,3.469615642,0.7646533390000001,0.8935092490000001,0.530148791,0.443274093,0.513330673,0.12034798199999999,1.4873464769999998,0.647750657,0.08649008300000001
40,ALB,High-technology exports (current US$),,,,,,247748.0,302707.0,1070147.0,5144499.0,1489031.0,1858694.0,1950417.0,3614505.0,4872125.0,3607944.0,3968947.0,9945986.0,6296633.0,5832068.0,8585833.0,6202700.0,4819147.0,6256686.0,917486.0,15123662.0,8424644.0,1009999.0
43,ALB,"Trademark applications, total",,,,34.0,1258.0,2094.0,2416.0,2364.0,2316.0,2534.0,2524.0,2224.0,2344.0,2710.0,3209.0,3460.0,3671.0,4024.0,3456.0,3365.0,3396.0,,2941.0,3012.0,3030.0,3281.0,3480.0
44,ALB,"Trademark applications, direct resident",,,,1.0,4.0,26.0,36.0,27.0,17.0,32.0,54.0,106.0,132.0,128.0,147.0,186.0,148.0,216.0,213.0,286.0,274.0,,377.0,420.0,509.0,662.0,684.0
45,ALB,"Trademark applications, direct nonresident",,,,33.0,1254.0,2068.0,2380.0,2337.0,2299.0,2502.0,2470.0,2118.0,2212.0,2582.0,3062.0,3274.0,3523.0,3808.0,3243.0,3079.0,3122.0,,2564.0,2592.0,2521.0,2619.0,2796.0
47,ALB,"Patent applications, nonresidents",,,,,,,9.0,,,,120.0,238.0,391.0,,386.0,,,,361.0,,8.0,,4.0,3.0,5.0,,
48,ALB,Scientific and technical journal articles,,,,,,,,,,,,,23.9,22.0,26.2,32.6,40.3,51.9,76.8,140.8,165.2,214.1,359.5,360.7,269.0,191.4,
50,ALB,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,,,,,,,,5321983.91,15410498.39,505314.458,723627.4161,7530000.0,40363345.01,17084383.26,739132.6028,13324779.11,1651039.3530000001,1185843.636,740256.6694,1944121.659,2703124.0089999996,10984867.32
51,ALB,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,8358857.12,4942627.61,4204267.362,6768509.007999999,11850000.0,12517321.15,14478668.94,12142401.22,12695213.14,23369955.64,22607673.51,21875569.24,24570725.86,23157888.57,13126155.65
52,AND,High-technology exports (% of manufactured exports),,,,,9.164747598,13.56072455,19.801225600000002,12.8138865,9.70343224,10.92196833,21.79661846,16.985677499999998,20.47674801,26.69742315,26.40161869,15.36538923,22.31188385,13.92621348,10.30210905,21.61801241,16.74692726,19.44406242,22.05047952,18.60583622,,,
53,AND,High-technology exports (current US$),,,,,3914459.0,5577625.0,8330815.0,6432320.0,3511781.0,4113229.0,10193596.0,9822198.0,16410433.0,27459185.0,25375265.0,16789361.0,31340088.0,15234546.0,8789758.0,17876901.0,17190617.0,18556300.0,20172634.0,16200929.0,,,
56,AND,"Trademark applications, total",,,,,,2449.0,7643.0,2404.0,1141.0,1620.0,1578.0,725.0,859.0,741.0,806.0,876.0,1071.0,1021.0,785.0,948.0,803.0,620.0,,896.0,1053.0,991.0,977.0
57,AND,"Trademark applications, direct resident",,,,,,164.0,504.0,498.0,226.0,728.0,600.0,240.0,258.0,202.0,304.0,239.0,259.0,325.0,243.0,259.0,225.0,182.0,,191.0,190.0,224.0,215.0
58,AND,"Trademark applications, direct nonresident",,,,,,2285.0,7139.0,1906.0,915.0,892.0,978.0,485.0,601.0,539.0,502.0,637.0,812.0,696.0,542.0,689.0,578.0,438.0,,705.0,863.0,767.0,762.0
61,AND,Scientific and technical journal articles,,,,,,,,,,,,,4.1,1.3,4.8,5.0,6.2,1.7,2.6,1.2,1.0,3.6,5.9,5.4,7.4,7.9,
