Company_id,Year,R&D_investemetn,net_sales,operating_profits,employees
1,2011,55.071,1280.312,34.591,7456.0
1,2012,66.926,1243.616,21.659,7162.0
1,2013,71.8,1246.831,12.144,7291.0
1,2014,89.739,1312.62,41.091,7234.0
2,2011,65.641,4595.993,263.445,16750.0
2,2012,78.182,5176.88,338.167,17865.0
2,2013,92.629,5710.773,91.896,23713.0
2,2014,84.28,5859.269,306.42,24853.0
3,2011,26.517,275.704,43.13399999999999,1193.0
3,2012,34.118,387.636,84.70699999999998,1282.0
3,2013,64.06,377.789,63.828,1394.0
3,2014,69.759,464.37,105.341,1636.0
4,2011,32.895,514.18,42.008,7417.0
4,2012,24.684,541.673,32.16,7321.0
4,2013,26.123,589.909,55.719,7027.0
4,2014,57.93899999999999,667.01,89.21299999999998,7638.0
5,2011,116.7,12058.25,700.789,42912.0
5,2012,138.8,11524.4,844.227,43429.0
5,2013,153.0,11077.23,800.937,44671.0
5,2014,142.4,11189.49,846.23,44571.0
6,2011,28.813,526.801,31.009,1632.0
6,2012,35.188,612.008,36.595,1647.0
6,2013,36.677,716.39,54.75899999999999,1808.0
6,2014,45.163,864.6359999999999,75.19499999999998,2056.0
7,2011,43.8,,,
7,2012,51.8,,,
7,2013,62.5,1684.1,174.8,
7,2014,75.5,,,
8,2011,30.2,549.921,50.035,2705.0
8,2012,96.6,488.937,14.834000000000001,3013.0
8,2013,55.3,486.967,29.471,3308.0
8,2014,54.026,456.377,34.476,3545.0
9,2011,94.0,7096.0,285.0,
9,2012,99.0,7545.0,158.0,
9,2013,101.191,8144.227,195.25099999999998,
9,2014,104.45,,,
10,2011,135.609,,,
10,2012,123.086,,,
10,2013,108.479,7424.662999999998,127.04,
10,2014,99.411,,,
11,2011,72.48778,8237.057,505.5904,32986.0
11,2012,54.04494,8394.058000000003,716.4332000000002,33354.0
11,2013,55.12584,6731.635,694.2072,27679.0
11,2014,59.78721,6493.364,685.3574,29400.0
12,2011,80.60938,546.9659,162.8455,
12,2012,84.25269,526.2599,52.7661,
12,2013,86.176,483.0469,123.5312,
12,2014,86.46177,554.5436,104.9546,
13,2011,71.18394000000002,475.7995,71.41836000000002,2111.0
13,2012,62.98262,393.0472,44.6141,2135.0
13,2013,83.38391,546.3146,94.75091,
13,2014,97.91997,584.2819,44.84716,2274.0
14,2011,324.9452,11129.2,4545.179,44645.0
14,2012,314.8118,11789.23,4160.785,43336.0
14,2013,470.191,12087.83,5463.943,42164.0
14,2014,465.462,12700.56,5374.094,42853.0
15,2011,103.5636,4818.782,270.4274,11598.0
15,2012,85.05321999999998,5130.554,91.47106,11007.0
15,2013,84.51277,4621.518,-499.6454,10078.0
15,2014,114.913,4733.391,237.3924,9269.0
16,2011,399.257,11422.4,5182.91,50297.0
16,2012,530.9915,11767.61,5400.44,48239.0
16,2013,526.9382,12512.75,6132.074,49866.0
16,2014,524.9114,13445.71,6963.69,50328.0
17,2011,45.6659,1316.968,325.1988,11491.0
17,2012,47.52325,1484.7320000000002,271.3531,13909.0
17,2013,55.85699,1660.272,198.3938,14270.0
17,2014,61.06331,1656.713,329.49,14530.0
18,2011,239.8244,3802.321,1052.549,10515.0
18,2012,351.5359000000001,4077.422,1218.68,11285.0
18,2013,384.1527,4394.035,1348.488,12196.0
18,2014,381.1052,4496.003,1447.985,
19,2011,737.7134,17045.77,4066.206,36039.0
19,2012,637.0547,17228.18,4938.356,37000.0
19,2013,615.4368,17342.35,4491.134,
19,2014,700.5575,17459.89,4474.246,
20,2011,41.20927,677.5884,-1038.338,3700.0
20,2012,81.06740999999998,1155.211,-1345.043,6000.0
20,2013,128.3567,1357.879,-1736.194,5829.0
20,2014,85.79634,1398.4129999999998,-1433.542,5700.0
21,2011,38.71915,1473.772,96.9627,3401.0
21,2012,45.19711,1538.451,123.0529,
21,2013,51.13327,1771.7979999999998,101.1397,
21,2014,55.69872,1849.1229999999998,101.389,
22,2011,379.6657,13154.54,6731.297,44844.0
22,2012,306.705,13876.04,7191.354,44969.0
22,2013,210.7753,14959.64,8104.714,44329.0
22,2014,369.5323,15665.6,8520.184999999998,45948.0
23,2011,70.0,6361.0,1164.0,15788.0
23,2012,76.0,6415.0,1033.0,15859.0
23,2013,84.0,6239.0,904.0,15699.0
23,2014,84.0,5961.0,917.0,14187.0
24,2011,160.14,14480.94,459.653,14572.0
24,2012,183.613,12548.01,334.415,14438.0
24,2013,146.222,9819.255,285.697,10293.0
24,2014,147.994,8828.512,239.364,14074.0
25,2011,58.0,21119.0,957.0,
25,2012,71.0,22618.0,608.0,157910.0
25,2013,36.0,20593.0,753.0,160883.0
25,2014,43.0,21361.0,596.0,152008.0
26,2011,732.0,2876.0,387.0,8506.0
26,2012,753.0,3070.0,428.0,9048.0
26,2013,781.0,3049.0,432.0,8732.0
26,2014,768.0,2938.0,303.0,8684.0
27,2011,161.0,8109.0,506.0,29121.0
27,2012,285.0,13372.0,3656.0,29100.0
27,2013,279.0,10150.0,683.0,29400.0
27,2014,285.0,10629.0,809.0,26000.0
28,2011,69.0,7034.0,786.0,51127.0
28,2012,60.0,7938.0,976.0,48026.0
28,2013,56.0,7618.0,1708.0,37887.0
28,2014,56.0,6726.0,2420.0,36258.0
29,2011,164.0,3023.0,36.0,11728.0
29,2012,163.0,3091.0,117.0,11408.0
29,2013,146.0,2865.0,179.0,11047.0
29,2014,146.0,2620.0,134.0,10506.0
30,2011,90.146,3339.957,272.844,22413.0
30,2012,69.449,3460.624,44.263,22549.0
30,2013,62.429,3185.628,151.583,21790.0
30,2014,59.261,3215.714,171.254,
31,2011,144.1396,32160.43,10892.84,116000.0
31,2012,149.9052,32746.88,10924.96,117632.0
31,2013,152.3762,35577.78,11806.27,154587.0
31,2014,178.7331,38763.68,12321.88,154029.0
32,2011,83.328,1041.244,59.026,3527.0
32,2012,97.309,1155.985,98.114,3725.0
32,2013,107.545,1158.015,81.435,3979.0
32,2014,90.167,908.368,27.51,3321.0
33,2011,44.852,234.944,-39.198,3239.0
33,2012,50.217,386.453,34.121,3042.0
33,2013,53.594,374.177,13.755999999999998,2991.0
33,2014,51.75899999999999,408.828,50.074,3060.0
34,2011,126.5595,5802.957,362.0993,460000.0
34,2012,171.8054,7572.046,454.2433,423000.0
34,2013,143.9815,6245.34,358.7503,413000.0
34,2014,146.025,6600.303,271.6183,408000.0
35,2011,42.44172,2078.915,189.6428,11925.0
35,2012,61.46318,1810.384,138.4946,11496.0
35,2013,59.99759,2140.555,168.2139,11976.0
35,2014,63.3548,2212.406,169.8604,11404.0
36,2011,7.213409,1468.365,28.35492,11600.0
36,2012,15.57945,1595.907,28.18276,11700.0
36,2013,15.156379999999999,1620.2979999999998,27.26986,12400.0
36,2014,26.599390000000003,1633.938,29.674459999999996,14300.0
37,2011,47.11306,1469.812,188.2875,31600.0
37,2012,47.0307,1530.351,208.8789,34800.0
37,2013,47.77199,1564.0379999999998,187.9581,30000.0
37,2014,46.20704,1548.307,184.9105,30000.0
38,2011,19.55302,6716.821,257.2501,18406.0
38,2012,30.343459999999997,7486.127,321.267,17304.0
38,2013,33.1395,8381.004,355.4012,16506.0
38,2014,44.9917,9036.644,415.4434,
39,2011,102.5385,9093.253,115.0745,29516.0
39,2012,228.4975,9863.133,150.6794,33739.0
39,2013,211.6283,9861.372,-26.7935,32906.0
39,2014,216.3182,9621.466,76.5019,31589.0
40,2011,12.85159,277.6059,129.8314,390.0
40,2012,14.29817,292.7438,183.1431,424.0
40,2013,20.71622,348.7474000000001,243.7424,785.0
40,2014,54.58457,1021.142,431.896,2033.0
41,2011,19.79427,351.6694,212.9505,2236.0
41,2012,22.67332,387.2086,214.1645,2507.0
41,2013,25.86216,450.0259,249.676,2510.0
