Company_id,office,company,country,industry,count
1,CN,ZUMTOBEL,AT,Electronic & Electrical Equipment,84
1,EP,ZUMTOBEL,AT,Electronic & Electrical Equipment,263
1,JP,ZUMTOBEL,AT,Electronic & Electrical Equipment,1
1,US,ZUMTOBEL,AT,Electronic & Electrical Equipment,86
2,CN,ANDRITZ,AT, Industrial Engineering,74
2,EP,ANDRITZ,AT, Industrial Engineering,88
2,JP,ANDRITZ,AT, Industrial Engineering,33
2,KR,ANDRITZ,AT, Industrial Engineering,18
2,US,ANDRITZ,AT, Industrial Engineering,90
3,CN,AUSTRIAMICROSYSTEMS,AT,Technology Hardware & Equipment,32
3,EP,AUSTRIAMICROSYSTEMS,AT,Technology Hardware & Equipment,90
3,JP,AUSTRIAMICROSYSTEMS,AT,Technology Hardware & Equipment,6
3,KR,AUSTRIAMICROSYSTEMS,AT,Technology Hardware & Equipment,10
3,US,AUSTRIAMICROSYSTEMS,AT,Technology Hardware & Equipment,87
4,CN,AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK,AT,Electronic & Electrical Equipment,12
4,EP,AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK,AT,Electronic & Electrical Equipment,14
4,US,AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK,AT,Electronic & Electrical Equipment,13
5,CN,VOESTALPINE,AT,Industrial Metals & Mining,27
5,EP,VOESTALPINE,AT,Industrial Metals & Mining,42
5,JP,VOESTALPINE,AT,Industrial Metals & Mining,16
5,KR,VOESTALPINE,AT,Industrial Metals & Mining,17
5,US,VOESTALPINE,AT,Industrial Metals & Mining,32
6,EP,KTM,AT,Automobiles & Parts,1
6,US,KTM,AT,Automobiles & Parts,1
7,CN,NOVOMATIC,AT,Travel & Leisure,23
7,EP,NOVOMATIC,AT,Travel & Leisure,27
7,JP,NOVOMATIC,AT,Travel & Leisure,3
7,KR,NOVOMATIC,AT,Travel & Leisure,10
7,US,NOVOMATIC,AT,Travel & Leisure,31
8,CN,KAPSCH TRAFFICCOM,AT,Electronic & Electrical Equipment,17
8,EP,KAPSCH TRAFFICCOM,AT,Electronic & Electrical Equipment,50
8,US,KAPSCH TRAFFICCOM,AT,Electronic & Electrical Equipment,44
9,CN,BOREALIS,AT,Chemicals,133
9,EP,BOREALIS,AT,Chemicals,164
9,JP,BOREALIS,AT,Chemicals,44
9,KR,BOREALIS,AT,Chemicals,76
9,US,BOREALIS,AT,Chemicals,100
10,CN,BENTELER INTERNATIONAL,AT,Automobiles & Parts,51
10,EP,BENTELER INTERNATIONAL,AT,Automobiles & Parts,73
10,JP,BENTELER INTERNATIONAL,AT,Automobiles & Parts,14
10,KR,BENTELER INTERNATIONAL,AT,Automobiles & Parts,3
10,US,BENTELER INTERNATIONAL,AT,Automobiles & Parts,74
11,CN,AMCOR,AU,General Industrials,2
11,EP,AMCOR,AU,General Industrials,16
11,JP,AMCOR,AU,General Industrials,6
11,KR,AMCOR,AU,General Industrials,1
11,US,AMCOR,AU,General Industrials,17
12,CN,COCHLEAR,AU,Health Care Equipment & Services,10
12,EP,COCHLEAR,AU,Health Care Equipment & Services,16
12,JP,COCHLEAR,AU,Health Care Equipment & Services,3
12,KR,COCHLEAR,AU,Health Care Equipment & Services,2
12,US,COCHLEAR,AU,Health Care Equipment & Services,25
13,US,ARISTOCRAT LEISURE,AU,Travel & Leisure,53
15,CN,ARRIUM,AU,Industrial Metals & Mining,1
15,EP,ARRIUM,AU,Industrial Metals & Mining,1
15,JP,ARRIUM,AU,Industrial Metals & Mining,1
15,KR,ARRIUM,AU,Industrial Metals & Mining,1
15,US,ARRIUM,AU,Industrial Metals & Mining,5
18,CN,CSL,AU,Pharmaceuticals & Biotechnology,16
18,EP,CSL,AU,Pharmaceuticals & Biotechnology,26
18,JP,CSL,AU,Pharmaceuticals & Biotechnology,15
18,KR,CSL,AU,Pharmaceuticals & Biotechnology,15
