country code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,5.0,2.0,3.0,3.0,7.0,5.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,7.0,0.0,2.0,5.0,0.0
AFG,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,7.0,12.0,4.0,4.0,2.0,6.0,2.0,5.0,3.0,10.0,19.0,8.0,10.0,18.0,21.0,33.0,15.0,26.0,28.0,73.0,37.0,29.0,17.0,22.0,49.0,54.0,84.0,79.0,100.0
AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
ALB,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
AND,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,5.0,6.0,0.0,1.0,1.0,3.0,4.0,8.0,2.0,4.0,6.0,4.0,11.0,4.0,4.0,9.0,7.0,15.0,14.0,3.0,15.0,6.0,18.0,6.0,12.0,5.0
ARE,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,3.0,10.0,11.0,6.0,10.0,2.0,31.0,38.0,20.0,23.0,29.0,37.0,54.0,65.0,81.0,87.0,139.0,180.0
ARG,1297.0,863.0,819.0,588.0,565.0,187.0,66.0,39.0,47.0,48.0,284.0,125.0,163.0,701.0,528.0,113.0,54.0,79.0,86.0,79.0,82.0,70.0,77.0,88.0,87.0,61.0,58.0,65.0,68.0,83.0,96.0,98.0,119.0,176.0,116.0,129.0,134.0,137.0
ARM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,51.0,88.0,28.0,30.0,19.0,13.0,14.0,9.0,19.0,30.0,34.0,21.0,29.0,51.0,48.0,3.0,10.0,35.0,12.0,19.0,19.0,32.0,41.0,22.0
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,2.0,3.0,4.0,1.0
AUS,1646.0,1670.0,1843.0,1815.0,1997.0,2185.0,2238.0,2351.0,2342.0,2493.0,2464.0,2291.0,2464.0,2517.0,2544.0,2417.0,2387.0,2378.0,2899.0,2690.0,2649.0,2788.0,2858.0,3216.0,3342.0,3475.0,4054.0,3688.0,3831.0,3888.0,4872.0,5244.0,4676.0,4798.0,4878.0,4886.0,5089.0,4774.0
AUT,2918.0,2658.0,2914.0,3004.0,2987.0,3228.0,3225.0,3217.0,3180.0,2939.0,3190.0,2871.0,2663.0,3085.0,3429.0,3600.0,3196.0,3226.0,3208.0,3030.0,2594.0,3210.0,3419.0,3754.0,3331.0,3176.0,4181.0,3541.0,3964.0,3946.0,4525.0,4656.0,5297.0,5535.0,5853.0,6676.0,7916.0,8041.0
AZE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,79.0,311.0,214.0,248.0,38.0,28.0,22.0,37.0,38.0,37.0,66.0,51.0,134.0,75.0,130.0,81.0,36.0,87.0,87.0,125.0,152.0,106.0,382.0,290.0
BDI,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BEL,2677.0,2491.0,2767.0,2719.0,2633.0,2897.0,2690.0,2047.0,1662.0,1616.0,1475.0,1525.0,1655.0,1732.0,1720.0,1817.0,1998.0,2240.0,2321.0,2326.0,2198.0,2313.0,2798.0,2972.0,2926.0,2577.0,3325.0,2792.0,3299.0,3824.0,4212.0,4389.0,5068.0,5097.0,5272.0,5248.0,6193.0,6642.0
BEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,32.0,16.0,16.0,1.0,225.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,32.0,48.0,0.0,0.0,16.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,2.0,4.0,15.0
BGR,1451.0,1533.0,1621.0,1420.0,1592.0,1824.0,2076.0,1861.0,1829.0,1688.0,1318.0,949.0,1013.0,898.0,59.0,226.0,271.0,220.0,184.0,205.0,216.0,155.0,180.0,147.0,98.0,157.0,116.0,178.0,150.0,185.0,222.0,146.0,96.0,156.0,140.0,106.0,143.0,159.0
BHR,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,23.0,17.0,6.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,1.0,3.0,11.0
BIH,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,6.0,9.0,9.0,8.0,1.0,16.0,7.0,3.0,6.0,1.0,2.0,7.0,0.0,2.0,2.0,4.0,3.0
BLR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,160.0,636.0,621.0,454.0,539.0,181.0,197.0,148.0,213.0,179.0,374.0,465.0,381.0,740.0,670.0,671.0,791.0,911.0,683.0,772.0,457.0,415.0,425.0,828.0,1556.0
BLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,10.0,4.0,9.0,5.0,2.0,9.0,8.0,11.0,3.0,15.0,14.0,8.0,10.0,8.0,14.0,18.0
BMU,20.0,25.0,40.0,40.0,47.0,32.0,59.0,36.0,37.0,26.0,28.0,12.0,20.0,12.0,8.0,12.0,25.0,22.0,45.0,33.0,59.0,65.0,96.0,97.0,156.0,181.0,285.0,265.0,340.0,271.0,128.0,214.0,302.0,424.0,732.0,819.0,741.0,630.0
BRA,130.0,106.0,135.0,133.0,141.0,114.0,139.0,141.0,103.0,156.0,172.0,176.0,131.0,209.0,200.0,204.0,178.0,189.0,223.0,241.0,333.0,344.0,346.0,414.0,391.0,328.0,464.0,301.0,450.0,729.0,764.0,951.0,914.0,1009.0,1096.0,1137.0,1239.0,1240.0
BRB,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,6.0,12.0,4.0,1.0,5.0,5.0,13.0,10.0,16.0,20.0,38.0,36.0,89.0,133.0,192.0,190.0,245.0,251.0,288.0,325.0,330.0,358.0,436.0,401.0,402.0,509.0,543.0,611.0,573.0
